Feature,SHAP_Raw,IG_Raw,Permutation_Raw,LIME_Raw,SHAP_Norm,LIME_Norm,IG_Norm,Permutation_Norm,Rank_SHAP,Rank_LIME,Rank_IG,Rank_Permutation,Consensus_Score,Consensus_Rank
tenure,0.0688684670990602,0.44152153,0.0342222835079977,0.1664619688704232,1.0,1.0,1.0,1.0,1,1,1,1,1.0,1
Contract_Month-to-month,0.0510933994853365,0.32447666,0.0093126034197462,0.1293015369482452,0.7418983119203729,0.7767632320202562,0.7306005076601941,0.29576302572332425,2,2,2,4,0.636256269331037,2
TotalCharges,0.037753119535692,0.20048678,0.0200032175032174,0.0,0.5481916634123426,0.0,0.4452158451177569,0.5980039894221817,3,11,4,2,0.3978528744880703,3
Contract_Two year,0.0223462554297408,0.15068828,0.0046876723662437,0.1053375186719501,0.32447731699324767,0.6328023114633866,0.33059578001551176,0.16500873904370497,6,3,5,7,0.36322103687896273,4
MonthlyCharges,0.0367927674927483,0.26678005,0.0098365968008824,0.0,0.5342469353909924,0.0,0.5978015439488604,0.31057716673055485,4,11,3,3,0.3606564115176019,5
InternetService_Fiber optic,0.0300806219602723,0.1437045,0.0060548814120242,0.0757511224807141,0.4367836722284587,0.45506564048680725,0.31452137379324085,0.20366195169810106,5,4,6,6,0.352508159551652,6
OnlineSecurity_No,0.014482980457043,0.13060197,0.0023133848133847,0.0511556093270732,0.2102991552899054,0.3073110913814409,0.28436358105642906,0.0978837869622524,8,6,9,10,0.22496440367250697,7
InternetService_DSL,0.0160010894179336,0.065233774,0.0027551020408163,0.0577829175788909,0.23234275557371825,0.34712383838178734,0.13390710383048204,0.11037184793414055,7,5,20,8,0.20593638643003206,8
TechSupport_No,0.0142972268235971,0.110790946,0.0009312373598087,0.0455006839111512,0.2076019319993287,0.2733398158144441,0.23876500156865046,0.058808241340546366,9,10,10,17,0.19462874768074243,9
Dependents_No,0.0042980359223193,0.1321876,0.0009103235888949,0.0471974355209926,0.06240934499292715,0.2835328444164437,0.2880131892540268,0.058216975186309534,19,9,8,18,0.1730430884624268,10
TechSupport_Yes,0.0067111278236068,0.104019605,-0.001148878470307,0.0488152430531924,0.09744848558852826,0.2932516260887856,0.22317956131945618,0.0,12,7,11,47,0.1534699182491925,11
avg_monthly_spend,0.0049338195371457,0.14105915,0.0070026659312372,0.0,0.0716411987223254,0.0,0.30843263238098495,0.23045735411644216,17,11,7,5,0.15263279630493812,12
Contract_One year,0.005250243435434,0.022513833,0.0012994116565545,0.0475392896818802,0.0762358109101233,0.28558649164413996,0.03557959560063431,0.06921712462720864,15,8,35,13,0.11665475569552655,13
MultipleLines_No,0.0041874564022961,0.091888495,0.0023446405589262,0.0,0.060803682420764144,0.0,0.1952576637128516,0.09876743747847438,20,11,13,9,0.08870719590302253,14
StreamingTV_Yes,0.0050487855425344,0.076109946,0.0015473892259605,0.0,0.07331055496374331,0.0,0.15894053943001246,0.07622785188457439,16,11,16,12,0.07711973656958254,15
