Feature,ROC_AUC_Drop_Mean,ROC_AUC_Drop_Std
tenure,0.03422228350799776,0.005996011550278583
TotalCharges,0.020003217503217485,0.004719708000465707
MonthlyCharges,0.00983659680088248,0.002037690234084491
Contract_Month-to-month,0.009312603419746246,0.005140248409828816
avg_monthly_spend,0.0070026659312372955,0.001460093731322728
InternetService_Fiber optic,0.006054881412024216,0.002531081797913648
Contract_Two year,0.004687672366243734,0.0013616532956942065
InternetService_DSL,0.002755102040816326,0.0020803188915459706
MultipleLines_No,0.0023446405589262476,0.0012880517998737026
OnlineSecurity_No,0.002313384813384789,0.0019872973152588137
Partner_No,0.0018438591652876867,0.0006065986271514054
StreamingTV_Yes,0.0015473892259605716,0.0006722336936410469
Contract_One year,0.0012994116565545055,0.0010214512482127813
TechSupport_No internet service,0.0011343997058282152,0.0006190486019490908
OnlineSecurity_Yes,0.001069130354844583,0.0009765883529834318
StreamingMovies_No,0.001003861003860984,0.0008234448122726931
TechSupport_No,0.0009312373598087343,0.001673357614240632
Dependents_No,0.0009103235888949901,0.0010712201489556205
DeviceProtection_Yes,0.0007655359441073428,0.0005435760306760787
num_active_services,0.0006906140834711749,0.0011987182441892843
OnlineBackup_Yes,0.000578231292516962,0.0006916190228229183
OnlineBackup_No internet service,0.0005550193050192553,0.0007796370772046497
DeviceProtection_No internet service,0.0005210056995770707,0.0012459602902252583
PaperlessBilling_No,0.0004858429858429325,0.0010421905169179613
OnlineBackup_No,0.0004578047435190302,0.0006149117156361738
OnlineSecurity_No internet service,0.0004106913035483717,0.0003173071492594013
StreamingTV_No internet service,0.00038839860268428115,0.0008032160104563927
gender_Female,0.0003527762456333017,0.0008803623033434909
PhoneService_No,0.00029876815591097785,0.0004451711372365443
PaymentMethod_Bank transfer (automatic),0.00023970398970392105,0.0005624192412401186
PhoneService_Yes,0.00023878470307041598,0.00028473122718722404
PaymentMethod_Credit card (automatic),0.00016570141570131368,0.0005683461732292966
Dependents_Yes,0.00011284243427093222,0.00045102750774261613
MultipleLines_Yes,2.9646993932641585e-05,0.001058830781887895
gender_Male,9.42268799404289e-06,0.0006058191767362715
StreamingMovies_No internet service,8.733223018864145e-06,0.00039108164861568936
PaymentMethod_Mailed check,-5.056076484688532e-06,0.000532811466826315
MultipleLines_No phone service,-7.699025556171524e-05,0.000272133008677641
StreamingTV_No,-9.077955506525681e-05,0.0005974826106945757
InternetService_No,-0.00025349328920761807,0.00047204949045309317
StreamingMovies_Yes,-0.00031347674204821316,0.0006484720175992147
PaperlessBilling_Yes,-0.0003173837102409038,0.0014437412128510995
PaymentMethod_Electronic check,-0.0003821934179077502,0.0010386189981173263
Partner_Yes,-0.0005552491266777482,0.0007658512888580967
DeviceProtection_No,-0.00098110865968013,0.0005959275602132556
is_auto_payment,-0.001069819819819895,0.0014808960299629258
TechSupport_Yes,-0.0011488784703070798,0.0009807411130549084
